CustomerID,Lookalikes
C0001,"[('C0107', 0.989623839001654), ('C0174', 0.9716134523320659), ('C0011', 0.9671504462114844)]"
C0002,"[('C0142', 0.9907053654945355), ('C0159', 0.9595742192370726), ('C0186', 0.9568395223411192)]"
C0003,"[('C0174', 0.8818652346061687), ('C0031', 0.8496683020969124), ('C0001', 0.8377687791705014)]"
C0004,"[('C0165', 0.9852902527327856), ('C0012', 0.9777423386443869), ('C0099', 0.9574108616530455)]"
C0005,"[('C0186', 0.9978532023250041), ('C0159', 0.9973832895079388), ('C0007', 0.9885638041792802)]"
C0006,"[('C0187', 0.9051212600295466), ('C0158', 0.898603656916483), ('C0011', 0.8862598291730248)]"
C0007,"[('C0159', 0.9906282409664753), ('C0005', 0.9885638041792802), ('C0115', 0.9867848192930498)]"
C0008,"[('C0109', 0.9246995874387011), ('C0098', 0.8999596714931635), ('C0122', 0.8855109377634216)]"
C0009,"[('C0198', 0.9885069577319867), ('C0061', 0.9674691570043006), ('C0060', 0.9590987484386291)]"
C0010,"[('C0199', 0.9571676458103137), ('C0073', 0.94849443310187), ('C0197', 0.9379139721147385)]"
C0011,"[('C0107', 0.9857224479867692), ('C0001', 0.9671504462114844), ('C0174', 0.8925942735416259)]"
C0012,"[('C0155', 0.9858746582050992), ('C0013', 0.9787796769445606), ('C0004', 0.9777423386443869)]"
C0013,"[('C0155', 0.9912639367296969), ('C0099', 0.9883623277031662), ('C0012', 0.9787796769445606)]"
C0014,"[('C0060', 0.9995509983972818), ('C0063', 0.9856647412703778), ('C0198', 0.9707164884799278)]"
C0015,"[('C0131', 0.9813931276994791), ('C0058', 0.9767921768525875), ('C0033', 0.9750288614124584)]"
C0016,"[('C0183', 0.9580773795030816), ('C0079', 0.870446909107259), ('C0026', 0.8636944512961943)]"
C0017,"[('C0075', 0.9675971736670513), ('C0041', 0.945332645653529), ('C0053', 0.9129522995342277)]"
C0018,"[('C0046', 0.804174429936901), ('C0059', 0.784619686774713), ('C0065', 0.7493645853907239)]"
C0019,"[('C0069', 0.92424532648408), ('C0010', 0.8356245093289754), ('C0199', 0.8350731195305641)]"
C0020,"[('C0058', 0.9958285588464109), ('C0033', 0.9946948850557419), ('C0131', 0.970216767613518)]"
